"MD";"Southeast"
"MD";"Southeast"
"MD";"Southeast"
"MD";"Southeast"
"MD";"Southeast"
"MD";"Southeast"
"MD";"Southeast"
"MD";"Southeast"
"MD";"Southeast"
"MD";"Southeast"
"MD";"Southeast"
"MD";"Southeast"
"MD";"Southeast"
"ME";"Northeast"
"ME";"Northeast"
"ME";"Northeast"
"ME";"Northeast"
"ME";"Northeast"
"ME";"Northeast"
"ME";"Northeast"
"ME";"Northeast"
"ME";"Northeast"
"ME";"Northeast"
"ME";"Northeast"
"ME";"Northeast"
"ME";"Northeast"
"ME";"Northeast"
"ME";"Northeast"
"ME";"Northeast"
"ME";"Northeast"
"ME";"Northeast"
"ME";"Northeast"
"ME";"Northeast"
"ME";"Northeast"
"ME";"Northeast"
"MI";"Midwest"
"MI";"Midwest"
"MI";"Midwest"
"MI";"Midwest"
"MI";"Midwest"
"MI";"Midwest"
"MI";"Midwest"
"MI";"Midwest"
"MI";"Midwest"
"MI";"Midwest"
"MI";"Midwest"
"MI";"Midwest"
"MI";"Midwest"
"MI";"Midwest"
"MI";"Midwest"
"MI";"Midwest"
"MI";"Midwest"
"MI";"Midwest"
"MI";"Midwest"
"MI";"Midwest"
"MI";"Midwest"
"MI";"Midwest"
"MI";"Midwest"
"MI";"Midwest"
"MI";"Midwest"
"MI";"Midwest"
"MN";"Midwest"
"MI";"Midwest"
"MN";"Midwest"
"MN";"Midwest"
"MN";"Midwest"
"MN";"Midwest"
"MN";"Midwest"
"MN";"Midwest"
"MN";"Midwest"
"MN";"Midwest"
"MN";"Midwest"
"MN";"Midwest"
"MN";"Midwest"
"MN";"Midwest"
"MN";"Midwest"
"MN";"Midwest"
"MN";"Midwest"
"MN";"Midwest"
"MN";"Midwest"
"MN";"Midwest"
"MN";"Midwest"
"MN";"Midwest"
"MN";"Midwest"
"MN";"Midwest"
"MN";"Midwest"
"MN";"Midwest"
"MN";"Midwest"
"MO";"Midwest"
"MO";"Midwest"
"MO";"Midwest"
"MO";"Midwest"
"MO";"Midwest"
"MO";"Midwest"
"MO";"Midwest"
"MO";"Midwest"
"MO";"Midwest"
"MO";"Midwest"
"MO";"Midwest"
"MO";"Midwest"
"MO";"Midwest"
"MO";"Midwest"
"MO";"Midwest"
"MO";"Midwest"
"MO";"Midwest"
"MO";"Midwest"
"MO";"Midwest"
"MO";"Midwest"
"MO";"Midwest"
"MO";"Midwest"
"MO";"Midwest"
"MO";"Midwest"
"MO";"Midwest"
"MO";"Midwest"
"MS";"Southeast"
"MS";"Southeast"
"MS";"Southeast"
"MS";"Southeast"
"MS";"Southeast"
"MT";"West"
"MT";"West"
"MT";"West"
"MT";"West"
"MT";"West"
"MT";"West"
"MT";"West"
"MT";"West"
"NC";"Southeast"
"NC";"Southeast"
"NC";"Southeast"
"NC";"Southeast"
"NC";"Southeast"
"ND";"Midwest"
"ND";"Midwest"
"ND";"Midwest"
"ND";"Midwest"
"ND";"Midwest"
"ND";"Midwest"
"ND";"Midwest"
"ND";"Midwest"
"ND";"Midwest"
"NE";"Midwest"
"NE";"Midwest"
"NE";"Midwest"
"NE";"Midwest"
"NE";"Midwest"
"NE";"Midwest"
"NE";"Midwest"
"NE";"Midwest"
"NE";"Midwest"
"NH";"Northeast"
"NH";"Northeast"
"NH";"Northeast"
"NH";"Northeast"
"NH";"Northeast"
"NH";"Northeast"
"NH";"Northeast"
"NH";"Northeast"
"NH";"Northeast"
"NH";"Northeast"
"NH";"Northeast"
"NH";"Northeast"
"NH";"Northeast"
"NH";"Northeast"
"NH";"Northeast"
"NH";"Northeast"
"NH";"Northeast"
"NH";"Northeast"
"NH";"Northeast"
"NH";"Northeast"
"NH";"Northeast"
"NJ";"Northeast"
"NJ";"Northeast"
"NJ";"Northeast"
"NJ";"Northeast"
"NJ";"Northeast"
"NJ";"Northeast"
"NJ";"Northeast"
"NJ";"Northeast"
"NJ";"Northeast"
"NJ";"Northeast"
"NJ";"Northeast"
"NJ";"Northeast"
"NJ";"Northeast"
"NJ";"Northeast"
"NJ";"Northeast"
"NJ";"Northeast"
"NJ";"Northeast"
"NJ";"Northeast"
"NJ";"Northeast"
"NJ";"Northeast"
"NJ";"Northeast"
"NJ";"Northeast"
"NM";"Southwest"
"NM";"Southwest"
"NM";"Southwest"
"NM";"Southwest"
"NM";"Southwest"
"NM";"Southwest"
"NM";"Southwest"
"NV";"West"
"NV";"West"
"NV";"West"
"NV";"West"
"NV";"West"
"NY";"Northeast"
"NY";"Northeast"
"NY";"Northeast"
"NY";"Northeast"
"NY";"Northeast"
"NY";"Northeast"
"NY";"Northeast"
"NY";"Northeast"
"NY";"Northeast"
"NY";"Northeast"
"NY";"Northeast"
"NY";"Northeast"
"NY";"Northeast"
"NY";"Northeast"
"NY";"Northeast"
"NY";"Northeast"
"NY";"Northeast"
"NY";"Northeast"
"NY";"Northeast"
"NY";"Northeast"
"NY";"Northeast"
"NY";"Northeast"
"NY";"Northeast"
"NY";"Northeast"
"OH";"Midwest"
"OH";"Midwest"
"OH";"Midwest"
"OH";"Midwest"
"OH";"Midwest"
"OH";"Midwest"
"OH";"Midwest"
"OH";"Midwest"
"OH";"Midwest"
"OH";"Midwest"
"OH";"Midwest"
"OH";"Midwest"
"OH";"Midwest"
"OH";"Midwest"
"OH";"Midwest"
"OH";"Midwest"
"OH";"Midwest"
"OH";"Midwest"
"OH";"Midwest"
"OH";"Midwest"
"OH";"Midwest"
"OH";"Midwest"
"OH";"Midwest"
"OH";"Midwest"
"OH";"Midwest"
"OH";"Midwest"
"OH";"Midwest"
"OK";"Southwest"
"OK";"Southwest"
"OK";"Southwest"
"OK";"Southwest"
"OK";"Southwest"
"OK";"Southwest"
"OK";"Southwest"
"OK";"Southwest"
"OK";"Southwest"
"OK";"Southwest"
"OK";"Southwest"
"OK";"Southwest"
"OK";"Southwest"
"OK";"Southwest"
"OK";"Southwest"
"OK";"Southwest"
"OK";"Southwest"
"OK";"Southwest"
"OK";"Southwest"
"OK";"Southwest"
"OK";"Southwest"
"OK";"Southwest"
"OK";"Southwest"
"OK";"Southwest"
